id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,90685,13292748567,16,13292748567,424997590,92913,86808,3707.48,4.26256,500669141,3.9139,146742.45390795,146742.45390795,146742.45390795,92913,-2.68632,2024-11-13T18:55:22.275Z,3139.17,2780.27291,2019-04-02T00:00:00.000Z,,2024-11-14T08:09:35.291Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.42,9739774552,17,34225677487,3421408216,3.51,2.98,0.44213,14.85806,1273529383,15.04243,2845750695.58389,10000000000.0,10000000000.0,3.51,-2.76308,2024-11-14T06:05:53.048Z,0.364846,836.14742,2023-10-19T10:40:30.078Z,,2024-11-14T08:09:33.593Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,2.297e-05,9605052604,18,9605052604,25988558194,2.457e-05,1.276e-05,1.002e-05,77.43175,4154418469,76.21899,420690000000000.0,420690000000000.0,420690000000000.0,2.457e-05,-6.96713,2024-11-14T02:05:35.500Z,5.5142e-08,41345.62963,2023-04-18T02:14:41.591Z,,2024-11-14T08:09:39.856Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3217.1,9250066100,19,9250066100,1876443044,3332.6,3131.27,55.68,1.76121,237475326,2.63493,2866651.99285713,2866651.99285713,,4799.89,-32.89854,2021-11-09T00:00:00.000Z,82.1,3822.85555,2018-12-15T00:00:00.000Z,,2024-11-14T08:09:36.519Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,443.42,8781444816,20,9319298760,885492383,449.53,410.49,29.98,7.25105,604626930,7.3944,19788006.1466508,21000000.0,21000000.0,3785.82,-88.30498,2017-12-20T00:00:00.000Z,76.93,475.49031,2018-12-16T00:00:00.000Z,,2024-11-14T08:09:42.735Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,13.64,8561816659,21,13658478186,1087864590,14.41,13.16,0.259589,1.9406,181954018,2.17132,626849971.3083414,1000000000.0,1000000000.0,52.7,-74.0819,2021-05-10T00:13:57.214Z,0.148183,9116.94029,2017-11-29T00:00:00.000Z,,2024-11-14T08:09:35.306Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,5.14,7388755668,22,7804881430,759435459,5.41,4.98,0.064114,1.2621,97486347,1.33703,1437337988.81805,1518287121.92609,,54.98,-90.66191,2021-11-04T14:10:09.301Z,2.7,90.3337,2020-08-20T05:48:11.359Z,,2024-11-14T08:09:40.580Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,7.75,7167066695,23,7634742826,3808356,7.77,7.24,0.476345,6.55152,441481900,6.56422,924887372.9,985239504.0,,8.14,-5.32838,2022-02-08T17:40:10.285Z,0.799859,862.90221,2019-12-24T15:14:35.376Z,,2024-11-14T08:09:37.626Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,5.36,6536046641,24,6548144867,1046567370,5.51,5.01,0.201653,3.91266,252968556,4.02619,1217906155.0,1220160500.0,,20.44,-73.73892,2022-01-16T22:09:45.873Z,0.526762,918.91685,2020-11-04T16:09:15.137Z,,2024-11-14T08:09:39.524Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,12.04,6400375248,25,13548646728,1198003068,12.66,11.38,0.193789,1.63595,96576988,1.53204,531871521.701188,1125893259.78646,,19.92,-39.60068,2023-01-26T14:25:17.390Z,3.08,290.66829,2022-12-29T21:35:14.796Z,,2024-11-14T08:09:41.655Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,82.75,6226560063,26,6955747352,1702747583,83.95,72.69,9.34,12.72571,705735309,12.78315,75194083.2334713,84000000.0,84000000.0,410.26,-79.90195,2021-05-10T03:13:07.904Z,1.15,7077.1582,2015-01-14T00:00:00.000Z,,2024-11-14T08:09:39.090Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3402.58,5858970532,27,5858970532,32432524,3516.06,3294.69,80.07,2.40998,200132300,3.53663,1720917.86413502,1720917.86413502,,4196.87,-18.83448,2024-03-13T08:29:59.938Z,2231.18,52.67348,2024-01-08T03:35:28.624Z,,2024-11-14T08:09:36.420Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,1.002,5262655979,29,5262655979,13528881,1.013,0.984587,0.00298615,0.2989,46758879,0.89647,5241541535.57045,5241541535.57045,,1.057,-5.21377,2024-10-29T05:40:51.197Z,0.948265,5.6873,2024-10-03T13:19:28.826Z,,2024-11-14T08:09:34.441Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,8.76,5258876808,28,8758589604,732805412,9.12,8.36,0.294766,3.48219,178082421,3.50501,600425073.71,1000000000.0,1000000000.0,44.92,-80.53879,2021-05-03T05:25:04.822Z,1.03,748.5579,2020-09-17T01:20:38.214Z,,2024-11-14T08:09:35.054Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.16137,4382006150,30,4848953055,132351780,0.183881,0.152169,0.00144511,0.90362,10154657,0.23227,27111045008.717,30000000000.0,,0.965407,-83.23938,2021-11-24T15:53:54.855Z,0.0121196,1235.09584,2019-02-08T00:00:00.000Z,,2024-11-14T08:09:34.974Z
dogwifcoin,wif,dogwifhat,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,4.11,4083594535,33,4083594535,5113719317,4.27,2.96,1.13,37.72337,1107179204,37.19841,998926392.0,998926392.0,998926392.0,4.83,-15.1792,2024-03-31T09:34:58.366Z,0.00155464,263176.16346,2023-12-13T07:13:50.873Z,,2024-11-14T08:09:37.498Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,8.57,4071532889,31,4510057177,290028605,8.94,8.14,0.325343,3.94555,160199145,4.09577,474448709.095077,525549188.459013,,700.65,-98.77875,2021-05-10T16:05:53.653Z,2.87,198.66051,2023-09-22T00:29:57.369Z,,2024-11-14T08:09:37.523Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,551.77,4068074606,32,11574217656,361574624,573.68,519.2,14.66,2.72866,105114468,2.65242,7381023.0,21000000.0,21000000.0,757.6,-27.35891,2024-03-07T18:45:36.466Z,30.83,1685.05686,2023-05-14T08:57:53.732Z,,2024-11-14T08:09:42.329Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.125803,3758982771,34,6286296203,371544717,0.132211,0.121149,-0.00023746797294627,-0.18841,-13274046.337471008,-0.35189,29899299917.5451,50001786921.2871,50001786921.2871,0.875563,-85.71555,2018-01-03T00:00:00.000Z,0.00047612,26168.26392,2015-03-05T00:00:00.000Z,,2024-11-14T08:09:42.219Z
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,1.32,3444555263,35,3589116366,1044679821,1.39,1.22,0.02074434,1.59785,49120025,1.44665,2609959126.672,2719493896.672,2719493896.672,3.45,-61.72355,2024-03-28T17:21:18.050Z,0.00816959,16083.49214,2020-03-13T02:24:18.347Z,"{'times': 14.213487163569793, 'currency': 'usd', 'percentage': 1421.3487163569791}",2024-11-14T08:09:39.340Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,22.69,3399191096,36,4789364602,378732944,23.06,21.49,0.906655,4.16211,144117079,4.42746,149541666.460108,210700000.0,210700000.0,167.09,-86.40625,2021-05-06T18:34:22.133Z,0.615038,3592.97067,2016-07-25T00:00:00.000Z,"{'times': 49.42262237306931, 'currency': 'usd', 'percentage': 4942.262237306931}",2024-11-14T08:09:36.244Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,22.64,3263779085,38,7716577824,38354546,22.61,21.7,0.890582,4.09492,129217973,4.12236,144118517.10815412,340740511.0,400000000.0,22.61,-0.0373,2024-11-13T14:56:16.276Z,3.06,638.32923,2023-02-13T19:01:21.899Z,,2024-11-14T08:09:35.027Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.002,3261155048,37,3261155048,123173576,1.007,0.992124,0.00216142,0.21621,35643969,1.10506,3253311565.95566,3253311565.95566,,1.22,-17.96671,2020-03-13T03:02:50.373Z,0.88196,13.37578,2023-03-11T07:50:50.514Z,,2024-11-14T08:09:35.387Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.12902,3248397928,39,3248824192,145862377,0.136317,0.124219,-0.0040656405505691,-3.0549,-94263024.05056524,-2.82,25148653014.3214,25151953093.6204,28704026601.0,0.207411,-37.75325,2024-08-01T00:40:47.164Z,0.00017105,75379.06096,2022-05-26T14:42:59.316Z,,2024-11-14T08:09:37.572Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/USDE.png?1716355685,1.003,3061051979,40,3061051979,124315744,1.009,0.995232,-0.000331945907632525,-0.03309,57821584,1.92531,3051258286.80105,3051258286.80105,,1.032,-2.80929,2023-12-20T15:38:34.596Z,0.929486,7.91855,2024-10-04T07:57:15.809Z,,2024-11-14T08:09:35.991Z
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,1.97,2954664243,42,2954733135,349338209,2.03,1.87,0.075587,3.98854,111254560,3.91272,1500579372.60911,1500614360.50078,1818000000.0,3.86,-49.24426,2024-04-01T12:34:58.342Z,0.04559639,4201.5798,2020-03-13T02:29:26.415Z,"{'times': 15.422420114827391, 'currency': 'usd', 'percentage': 1542.2420114827391}",2024-11-14T08:09:42.424Z
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.379153,2943574799,41,3898717513,411982029,0.401962,0.364209,0.00872354,2.35498,66504208,2.31153,7771586102.234861,10293340888.2509,,1.29,-70.53007,2024-03-13T18:55:06.692Z,0.286453,32.46263,2024-11-04T21:55:33.611Z,,2024-11-14T08:09:39.802Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,7.14,2805842859,43,3805042734,496750934,7.49,6.6,0.438087,6.53736,183836267,7.01128,392459381.455492,532219654.735492,,13.53,-47.28166,2024-03-17T16:30:24.636Z,0.03665669,19365.11013,2020-06-16T13:22:25.900Z,,2024-11-14T08:09:40.287Z
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,4.027e-05,2783072432,44,3713946051,3190524937,4.199e-05,3.263e-05,7.31e-06,22.19084,492752240,21.51456,69474461693558.484,92712068745585.8,92712068745585.8,4.547e-05,-12.54494,2024-03-04T17:05:29.594Z,8.6142e-08,46063.73011,2022-12-29T22:48:46.755Z,,2024-11-14T08:09:34.372Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,45.69,2741064338,45,10779586609,17990347,45.94,43.0,2.41,5.57834,142770553,5.49478,60000000.0,235957685.3,300000000.0,73.8,-37.84196,2024-03-14T00:30:12.502Z,0.580608,7801.15127,2019-01-14T00:00:00.000Z,,2024-11-14T08:09:38.948Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,146.43,2700701987,46,2700701987,113865299,152.37,145.84,-1.2405055381601926,-0.84005,-25309872.281514168,-0.92846,18446744.0737096,18446744.0737096,,542.33,-73.06104,2018-01-09T00:00:00.000Z,0.216177,67482.15446,2015-01-14T00:00:00.000Z,,2024-11-14T08:09:38.758Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,175.4,2630477770,47,2810230816,476144427,186.9,168.2,3.24,1.87986,54953677,2.13369,14976579.174435364,16000000.0,16000000.0,661.69,-73.52006,2021-05-18T21:19:59.514Z,26.02,573.30489,2020-11-05T09:20:11.928Z,,2024-11-14T08:09:41.345Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.773049,2599112306,48,4801147252,184715586,0.787223,0.686381,0.075768,10.86613,250130832,10.64848,3366841707.83684,6219316794.99,6219316794.99,1.54,-49.82856,2024-04-08T09:45:25.482Z,0.307978,150.66586,2023-10-18T02:50:46.942Z,,2024-11-14T08:09:38.116Z
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.629716,2498203948,49,6284143116,927388704,0.643107,0.578452,0.04529124,7.74972,176464983,7.60055,3975409060.0,10000000000.0,10000000000.0,2.39,-73.72458,2024-01-12T12:29:59.231Z,0.431578,45.5259,2024-08-05T11:35:54.024Z,,2024-11-14T08:09:41.664Z
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,4.13,2471665242,50,8089583612,545168647,4.26,3.92,0.174345,4.4102,104134513,4.39844,598810844.0,1959865077.0,1959865077.0,236.84,-98.26212,2021-04-01T13:29:41.564Z,2.64,55.85166,2022-12-16T22:45:28.552Z,,2024-11-14T08:09:36.457Z
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,25.05,2448405010,51,2505346005,445532781,26.12,23.16,1.9,8.19233,186077378,8.22504,97727220.33,100000000.0,,52.62,-52.56169,2024-03-14T15:06:22.124Z,0.657401,3697.12868,2020-11-03T16:19:30.576Z,,2024-11-14T08:09:38.840Z
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,1.006,2317607168,52,2317607168,12299518476,1.013,0.984649,0.00782045,0.78339,9888623,0.4285,2300189766.03,2300189766.03,,1.089,-7.40927,2024-05-20T19:42:15.377Z,0.942129,6.98113,2023-08-17T21:55:41.478Z,,2024-11-14T08:09:36.818Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.061127,2305956736,53,3059889440,266299833,0.06189,0.056882,0.00275715,4.72356,104965223,4.769,37680393060.7133,50000000000.0,50000000000.0,0.569229,-89.27465,2021-09-15T10:40:28.318Z,0.00986111,519.11707,2020-01-02T17:30:24.852Z,,2024-11-14T08:09:37.350Z
floki,floki,FLOKI,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,0.0002319,2242999860,54,2315806844,2116366187,0.00024423,0.00018892,3.93e-05,20.40707,374776089,20.06056,9685608562332.0,10000000000000.0,10000000000000.0,0.00034495,-33.05751,2024-06-05T07:25:59.137Z,8.428e-08,273889.34694,2021-07-06T01:11:20.438Z,,2024-11-14T08:09:36.467Z
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,5.23,2169982667,55,5658724677,427128802,5.35,4.82,0.148303,2.916,64623542,3.06948,415297359.523662,1082982575.34218,,20.85,-74.89939,2024-02-10T14:30:02.495Z,2.08,151.19736,2023-10-31T15:14:31.951Z,,2024-11-14T08:09:33.926Z
peanut-the-squirrel,pnut,Peanut the Squirrel,https://coin-images.coingecko.com/coins/images/51301/large/pnut.jpg?1730602041,2.16,2153385059,58,2153385059,7513466056,2.44,0.911379,1.25,137.4677,1226971855,132.44326,999858912.07,999858912.07,999858912.07,2.44,-11.15781,2024-11-14T01:20:47.489Z,0.03187374,6691.84376,2024-11-04T21:41:11.808Z,,2024-11-14T08:09:40.717Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.0264189,2139802230,56,2271913185,88708079,0.0269293,0.02481397,0.00111754,4.41694,92243590,4.50505,80985041177.0,85985041177.0,86712634466.0,0.280991,-90.6204,2021-04-19T01:08:21.675Z,0.00191713,1274.75308,2020-03-13T02:29:59.652Z,"{'times': 1.865979735194007, 'currency': 'eth', 'percentage': 186.5979735194007}",2024-11-14T08:09:34.769Z
optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.69,2116143239,57,7241637876,872257712,1.7,1.52,0.150371,9.7893,186831660,9.68385,1255070491.0,4294967296.0,4294967296.0,4.84,-65.2675,2024-03-06T08:35:50.817Z,0.402159,318.37919,2022-06-18T20:54:52.178Z,,2024-11-14T08:09:39.979Z
immutable-x,imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.26,2101600621,59,2516512268,152766426,1.31,1.21,0.01631823,1.31473,28387914,1.36927,1670248659.3898141,2000000000.0,2000000000.0,9.52,-86.80512,2021-11-26T01:03:01.536Z,0.378055,232.26516,2022-12-31T07:36:37.649Z,,2024-11-14T08:09:37.607Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,5.25,2048293710,60,2049560708,381779802,5.33,4.89,0.314132,6.36737,121729334,6.31847,390688369.813272,390930035.085365,,44.45,-88.20908,2022-01-17T00:34:41.497Z,1.16,351.77298,2020-03-13T02:27:44.591Z,"{'times': 51.47594518286053, 'currency': 'usd', 'percentage': 5147.594518286053}",2024-11-14T08:09:35.597Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,1.46,2041776613,61,2916821650,56410303,1.48,1.4,0.050965,3.62069,66163977,3.34904,1400001000.0,2000000000.0,2000000000.0,1.48,-1.54064,2024-11-14T04:45:39.774Z,0.0142795,10100.23528,2020-06-25T04:17:05.895Z,,2024-11-14T08:09:42.360Z
fantom,ftm,Fantom,https://coin-images.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.726653,2036778083,62,2306566579,670137081,0.771371,0.682658,0.01882277,2.65922,50017704,2.51755,2803634835.52659,3175000000.0,3175000000.0,3.46,-79.02644,2021-10-28T05:19:39.845Z,0.00190227,38032.65694,2020-03-13T02:25:38.280Z,"{'times': 23.22176591804656, 'currency': 'usd', 'percentage': 2322.176591804656}",2024-11-14T08:09:36.555Z
thorchain,rune,THORChain,https://coin-images.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,5.8,1962966862,63,2405641981,775278771,6.06,5.44,0.185186,3.2993,63327944,3.33368,338490403.0,414824488.0,500000000.0,20.87,-72.38426,2021-05-19T00:30:09.436Z,0.00851264,67596.20282,2019-09-28T00:00:00.000Z,"{'times': 151.58087342751693, 'currency': 'usd', 'percentage': 15158.087342751694}",2024-11-14T08:09:33.986Z
sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.484463,1959253989,64,4857989091,464679367,0.485713,0.437786,0.0435293,9.87207,179889292,10.10975,4033055555.0,10000000000.0,,1.14,-57.38305,2024-03-16T02:30:23.904Z,0.095364,409.32668,2023-10-19T08:05:30.655Z,,2024-11-14T08:09:41.005Z
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,3223.26,1949910026,65,1949910026,145911025,3329.75,3099.91,64.33,2.0365,35140046,1.83521,604999.999959841,604999.999959841,,3437.12,-6.20651,2024-11-12T09:22:30.621Z,2171.8,48.43889,2024-09-06T21:02:52.910Z,,2024-11-14T08:09:42.362Z
popcat,popcat,Popcat,https://coin-images.coingecko.com/coins/images/33760/large/image.jpg?1702964227,1.85,1799592078,66,1799592078,423335256,1.99,1.41,0.411147,28.57959,392902651,27.93102,979978669.96,979978669.96,979978694.0,1.99,-7.64373,2024-11-13T23:40:46.987Z,0.00379728,48416.18194,2024-01-05T15:34:24.842Z,,2024-11-14T08:09:40.923Z
the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.185526,1771481004,67,2001432859,150466577,0.193016,0.174799,0.00876474,4.9585,82142620,4.86241,9548531509.16547,10788004319.0,10788004319.0,2.84,-93.50563,2021-02-12T07:28:45.775Z,0.052051,254.53257,2022-11-22T10:05:03.503Z,,2024-11-14T08:09:34.128Z
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,3603.82,1705625697,68,1705625697,5921034,3730.46,3470.1,88.33,2.51263,37487844,2.24729,473790.244869357,473790.244869357,,4814.31,-25.21448,2021-12-01T08:03:50.749Z,887.26,305.78779,2022-06-18T20:55:45.957Z,,2024-11-14T08:09:40.244Z
